feature,importance
numeric__algorithms_external,0.11952482017913597
numeric__database_systems_external,0.07644096980744006
numeric__operating_systems_attendance,0.07573117595890858
numeric__algorithms_attendance,0.07566431822253239
numeric__database_systems_attendance,0.0717734759493967
numeric__data_structures_external,0.07141361998834117
numeric__data_structures_internal,0.06943761629188987
numeric__operating_systems_external,0.06142652953860507
numeric__operating_systems_internal,0.05930443179634682
numeric__previous_gpa,0.05361621446333649
numeric__software_engineering_external,0.05048601643522264
numeric__algorithms_internal,0.03987752540402103
numeric__database_systems_internal,0.03898122613009662
numeric__data_structures_attendance,0.03596705403519062
numeric__software_engineering_internal,0.03341076356609881
numeric__software_engineering_attendance,0.02720773551026821
numeric__computer_networks_lab_attendance,0.006838875097383962
numeric__computer_networks_lab_external,0.0036543954268846005
numeric__computer_graphics_lab_internal,0.003403043137610751
numeric__dsa_lab_attendance,0.003209916968180739
numeric__data_science_lab_attendance,0.0028723611227741363
numeric__attendance_rate,0.0027398430174152572
numeric__dbms_lab_attendance,0.0024727055715001826
numeric__data_science_lab_external,0.0021001083401323913
numeric__dbms_lab_external,0.002089575827314935
numeric__computer_networks_lab_internal,0.002066169682826506
numeric__computer_graphics_lab_attendance,0.0020175218570244896
numeric__computer_graphics_lab_external,0.0018198168603927119
numeric__data_science_lab_internal,0.001712217381778489
numeric__dsa_lab_external,0.0012634625740342077
numeric__dbms_lab_internal,0.0009257588628056588
numeric__dsa_lab_internal,0.000550734995110001
categorical__department_CSE,0.0
