student_id,department,attendance_rate,previous_gpa,attendance_trend,marks_trend,algorithms_internal,algorithms_external,algorithms_attendance,data_structures_internal,data_structures_external,data_structures_attendance,database_systems_internal,database_systems_external,database_systems_attendance,operating_systems_internal,operating_systems_external,operating_systems_attendance,software_engineering_internal,software_engineering_external,software_engineering_attendance,dsa_lab_internal,dsa_lab_external,dsa_lab_attendance,dbms_lab_internal,dbms_lab_external,dbms_lab_attendance,computer_networks_lab_internal,computer_networks_lab_external,computer_networks_lab_attendance,computer_graphics_lab_internal,computer_graphics_lab_external,computer_graphics_lab_attendance,data_science_lab_internal,data_science_lab_external,data_science_lab_attendance,performance_score,performance_band,at_risk,risk_score
STU-0001,CSE,63.87,6.68,-11.09,-18.63,18.52,50.39,52.57,21.61,25.04,63.16,14.16,28.23,80.32,20.3,48.11,43.75,17.01,51.92,65.81,9.23,48.11,67.53,26.42,35.17,41.45,15.02,28.54,71.23,6.42,38.27,78.13,20.04,58.44,47.45,59.62,Medium,No,79.4
STU-0002,CSE,88.87,9.94,-3.33,35.96,11.99,66.56,89.88,20.52,28.23,89.87,14.27,62.8,100.0,22.42,35.48,63.53,11.58,68.32,78.57,18.15,54.83,100.0,19.0,38.93,89.58,16.86,36.39,92.98,20.93,70.0,93.25,25.76,28.93,94.12,74.46,Medium,No,30.5
STU-0003,CSE,75.52,7.46,3.4,16.31,16.39,50.93,82.4,20.25,70.0,89.8,25.89,56.46,93.15,12.82,65.55,65.61,17.18,53.42,87.85,14.23,37.31,76.49,19.07,57.81,100.0,22.1,33.97,62.55,18.37,30.9,80.19,22.26,38.05,95.37,69.29,Medium,No,30.7
STU-0004,CSE,70.76,8.73,-1.78,3.14,16.32,43.21,77.15,24.46,64.16,75.04,25.25,35.02,79.94,24.52,67.69,54.07,15.46,57.35,44.24,22.46,60.9,64.99,17.85,28.89,65.54,17.54,34.76,63.38,18.64,40.75,89.5,18.03,50.16,64.99,72.21,Medium,No,30.5
STU-0005,CSE,73.41,7.44,-14.14,21.38,17.05,19.43,57.69,13.97,47.76,84.17,11.07,36.76,59.74,18.68,61.14,68.94,19.76,66.83,77.99,16.2,47.38,65.13,22.1,52.73,59.74,20.88,43.24,78.85,24.16,52.16,70.38,24.67,31.9,60.2,66.97,Medium,Yes,74.2
STU-0006,CSE,78.35,7.46,9.89,-17.53,4.02,43.95,70.13,21.99,15.43,71.88,22.35,29.55,82.44,17.21,44.51,84.3,24.76,46.39,70.21,17.71,54.55,68.13,19.11,39.21,77.31,14.95,17.22,83.55,24.82,18.12,82.04,25.42,53.94,74.18,59.16,Medium,Yes,81.9
STU-0007,CSE,84.25,6.8,-27.39,-4.33,15.28,46.21,86.73,20.48,42.3,73.43,22.11,52.06,86.26,20.55,70.0,78.01,26.41,33.99,95.34,26.17,40.6,100.0,22.35,31.84,80.51,25.66,58.85,73.67,19.3,48.05,79.18,30.0,48.5,83.63,69.47,Medium,No,76.8
STU-0008,CSE,60.0,7.64,-4.46,21.66,25.95,39.52,70.08,11.66,38.2,70.5,27.85,33.4,51.11,22.84,35.65,57.32,24.38,36.84,40.35,13.49,45.15,41.37,18.51,24.12,76.4,30.0,29.13,62.57,15.2,40.36,78.04,17.67,40.71,50.58,61.58,Medium,No,45.1
STU-0009,CSE,59.38,7.88,-6.2,-28.01,25.73,0.0,54.95,19.77,35.08,68.01,26.01,23.82,80.31,12.88,64.33,60.87,17.48,38.86,59.04,21.04,31.2,57.04,16.15,26.77,51.2,14.25,38.7,63.7,20.6,70.0,37.27,22.35,45.1,67.53,61.47,Medium,Yes,100.0
STU-0010,CSE,91.57,6.56,1.48,8.41,23.58,42.53,93.3,16.28,54.21,72.78,23.88,44.65,86.7,18.84,42.61,100.0,30.0,63.3,85.92,23.15,55.1,82.32,13.7,44.05,99.65,11.94,34.19,97.3,20.21,66.24,77.46,30.0,21.93,71.28,68.11,Medium,No,31.9
